seed,pitch_no,balls,strikes,sign,code,effort,target_x,target_z,plate_x,plate_z,plate_mph,swing,pred_x,pred_z,result,umpire,timing_error_s,vertical_m,axial_m,spray_eff_deg,t_contact_plan,t_arrival,ev_mph,la_deg,spray_deg,bb_spin_rpm,distance_m,hang_s,play,p_hit
0,1,0,0,CH,CH,1.0,0.057,0.454,-0.029,0.511,77.4,0,-0.037,0.507,called_strike,strike,,,,,,,,,,,,,,
0,2,0,1,FF,FF,1.0,0.19,0.85,0.137,0.709,85.3,1,0.146,0.663,foul,,-0.0102,0.0083,0.0051,-36.2506,0.4042,0.4056,101.6,16.3,-55.8,3545,87.1,2.73,foul,0.0
0,3,0,2,CH,CH,1.02,0.057,0.521,0.045,0.554,78.9,1,0.064,0.553,in_play,,-0.0019,0.0182,-0.0663,-17.0214,0.4379,0.4398,87.4,31.4,-27.6,3265,105.5,4.99,out,0.32
1,1,0,0,CH,SL,1.0,0.07,0.741,0.132,0.791,77.2,0,0.098,0.794,called_strike,strike,,,,,,,,,,,,,,
1,2,0,1,CH,CH,1.0,0.057,0.533,-0.018,0.571,77.4,1,0.007,0.571,swinging_strike,,0.0053,0.0776,-0.0644,-1.2584,0.4467,0.4485,,,,,,,,
1,3,0,2,SL,SL,1.02,0.19,0.486,-0.023,0.586,78.9,1,-0.045,0.62,swinging_strike,,-0.0094,-0.0723,-0.0024,-23.4822,0.4366,0.4399,,,,,,,,
2,1,0,0,SL,SL,1.0,0.19,0.531,0.496,0.725,77.3,0,0.454,0.762,ball,ball,,,,,,,,,,,,,,
2,2,1,0,SL,SL,1.0,0.19,0.469,0.156,0.439,77.4,0,0.137,0.446,ball,ball,,,,,,,,,,,,,,
2,3,2,0,FF,FF,1.0,0.0,0.85,0.092,0.855,85.3,0,0.084,0.812,called_strike,strike,,,,,,,,,,,,,,
2,4,2,1,CH,CH,1.0,0.057,0.547,0.017,0.699,77.3,0,0.027,0.691,called_strike,strike,,,,,,,,,,,,,,
2,5,2,2,CU,CU,1.02,0.19,0.509,0.321,0.621,73.4,0,0.32,0.74,ball,ball,,,,,,,,,,,,,,
2,6,3,2,CH,CH,1.01,0.19,0.484,0.07,0.408,78.2,0,0.019,0.413,ball,ball,,,,,,,,,,,,,,
3,1,0,0,FF,CH,1.0,-0.014,0.765,-0.051,0.627,77.3,0,-0.022,0.612,called_strike,strike,,,,,,,,,,,,,,
3,2,0,1,CU,SL,1.0,-0.142,0.507,-0.508,0.423,77.4,0,-0.531,0.454,ball,ball,,,,,,,,,,,,,,
3,3,1,1,FF,FF,1.0,0.19,0.85,0.435,0.826,85.3,0,0.487,0.858,ball,ball,,,,,,,,,,,,,,
3,4,2,1,FF,FF,1.0,0.0,0.85,0.125,0.868,85.2,1,0.164,0.852,in_play,,-0.0015,0.0325,-0.0225,-22.3208,0.4032,0.4055,90.3,44.4,-40.1,5345,94.5,6.37,out,0.234
4,1,0,0,CU,CU,1.0,0.057,0.547,-0.271,0.546,72.0,0,-0.271,0.605,ball,ball,,,,,,,,,,,,,,
4,2,1,0,CU,CU,1.0,0.057,0.473,-0.098,0.221,72.2,0,-0.069,0.301,ball,ball,,,,,,,,,,,,,,
4,3,2,0,FF,FF,1.0,0.19,0.85,0.337,0.882,85.2,1,0.37,0.843,swinging_strike,,0.0115,0.1243,-0.0604,-5.1861,0.4036,0.4057,,,,,,,,
4,4,2,1,FF,FF,1.0,-0.19,0.85,-0.203,0.941,85.2,0,-0.189,0.966,called_strike,strike,,,,,,,,,,,,,,
4,5,2,2,SL,SL,1.02,0.19,0.475,0.274,0.245,79.0,0,0.201,0.253,ball,ball,,,,,,,,,,,,,,
4,6,3,2,CH,CH,1.01,0.013,0.862,-0.118,0.758,78.0,1,-0.072,0.803,swinging_strike,,-0.0104,-0.0837,-0.0389,-23.6779,0.442,0.4439,,,,,,,,
5,1,0,0,CU,CU,1.0,0.19,0.501,0.417,0.523,72.0,0,0.44,0.577,ball,ball,,,,,,,,,,,,,,
5,2,1,0,FF,FF,1.0,0.0,0.85,0.023,0.847,85.3,1,0.062,0.803,swinging_strike,,0.0073,0.1044,-0.043,-1.2086,0.4074,0.4054,,,,,,,,
5,3,1,1,SL,SL,1.0,0.19,0.538,0.134,0.61,77.3,1,0.088,0.606,swinging_strike,,0.0073,0.1056,0.003,-2.7487,0.4479,0.4489,,,,,,,,
5,4,1,2,CU,CU,1.02,0.057,0.479,0.033,0.433,73.5,1,0.036,0.517,swinging_strike,,-0.0043,-0.0787,-0.0265,-19.6214,0.4704,0.4742,,,,,,,,
6,1,0,0,CH,CH,1.0,0.057,0.486,-0.146,0.464,77.4,1,-0.128,0.482,in_play,,-0.0031,-0.0004,-0.0335,-7.7741,0.4472,0.4484,95.5,10.7,-10.6,880,54.6,1.54,single,0.704
7,1,0,0,CH,CH,1.0,0.057,0.527,-0.016,0.368,77.5,0,0.013,0.384,ball,ball,,,,,,,,,,,,,,
7,2,1,0,CH,CH,1.0,0.057,0.51,-0.017,0.53,77.4,0,0.008,0.541,called_strike,strike,,,,,,,,,,,,,,
7,3,1,1,CU,FF,1.0,0.177,0.966,0.163,0.726,85.3,0,0.15,0.692,called_strike,strike,,,,,,,,,,,,,,
7,4,1,2,CH,CH,1.02,0.19,0.513,0.262,0.427,78.9,0,0.264,0.41,ball,ball,,,,,,,,,,,,,,
7,5,2,2,FF,FF,1.02,-0.19,0.995,-0.197,1.044,86.9,1,-0.163,1.027,in_play,,-0.0011,0.0517,-0.0348,-2.2107,0.3959,0.3973,73.2,78.1,-6.7,8463,14.0,5.16,out,0.02
8,1,0,0,SL,SL,1.0,0.19,0.481,-0.204,0.449,77.4,0,-0.204,0.449,ball,ball,,,,,,,,,,,,,,
8,2,1,0,FF,FF,1.0,0.0,0.85,-0.089,0.981,85.2,1,-0.098,0.923,in_play,,-0.0089,0.0401,-0.0441,-19.3899,0.4052,0.4053,82.8,54.8,-41.2,6432,63.6,6.16,out,0.02
9,1,0,0,CU,CU,1.0,0.057,0.51,0.286,0.419,72.1,0,0.286,0.46,ball,ball,,,,,,,,,,,,,,
9,2,1,0,CH,CH,1.0,0.19,0.482,0.148,0.487,77.4,1,0.148,0.513,foul,,-0.0088,-0.0204,-0.0338,-33.8832,0.4446,0.4487,94.7,-12.1,-51.0,4241,2.6,0.06,foul,0.0
9,3,1,1,CU,CU,1.0,0.19,0.505,0.352,0.484,72.1,0,0.327,0.507,ball,ball,,,,,,,,,,,,,,
9,4,2,1,FF,CU,1.0,-0.142,0.468,-0.081,0.521,72.0,1,-0.076,0.574,swinging_strike,,-0.0087,-0.0832,0.0356,-20.4955,0.4817,0.4836,,,,,,,,
9,5,2,2,CH,CH,1.02,0.19,0.468,0.256,0.749,78.8,0,0.311,0.739,ball,ball,,,,,,,,,,,,,,
9,6,3,2,FF,FF,1.01,0.19,0.995,0.199,1.019,86.0,1,0.23,0.994,foul,,0.0108,0.0687,-0.0294,-5.1388,0.4003,0.4015,71.2,21.4,178.8,2955,42.4,1.65,foul,0.0
9,7,3,2,SL,CU,1.01,-0.106,0.772,-0.165,0.963,72.5,1,-0.203,1.027,in_play,,-0.0012,-0.0596,0.0062,0.062,0.4747,0.4787,58.1,-77.2,13.1,8727,0.8,0.04,out,0.01
10,1,0,0,CU,CU,1.0,0.19,0.532,0.14,0.558,72.0,0,0.127,0.601,called_strike,strike,,,,,,,,,,,,,,
10,2,0,1,CH,CH,1.0,0.19,0.484,0.128,0.338,77.5,0,0.146,0.319,ball,ball,,,,,,,,,,,,,,
10,3,1,1,SL,SL,1.0,0.177,0.405,-0.043,0.207,77.5,0,-0.083,0.256,ball,ball,,,,,,,,,,,,,,
10,4,2,1,FF,SL,1.0,0.008,0.723,-0.365,0.78,77.2,1,-0.407,0.8,in_play,,-0.0139,-0.0411,0.0616,-18.8531,0.4473,0.4484,78.7,-43.3,-36.0,7211,1.6,0.03,out,0.157
11,1,0,0,FF,FF,1.0,0.0,0.85,-0.061,0.814,85.3,1,-0.034,0.757,swinging_strike,,0.0042,0.0756,-0.0116,-0.7463,0.4047,0.4053,,,,,,,,
11,2,0,1,CH,CH,1.0,0.19,0.455,0.342,0.242,77.5,0,0.352,0.243,ball,ball,,,,,,,,,,,,,,
11,3,1,1,FF,FF,1.0,0.0,0.85,0.064,1.102,85.1,1,0.103,1.052,foul,,0.0061,0.0554,-0.0888,-5.7087,0.4036,0.4054,61.4,86.2,-96.1,8666,24.3,4.13,foul,0.0
11,4,1,2,SL,SL,1.02,0.19,0.529,0.285,0.622,78.8,0,0.263,0.625,ball,ball,,,,,,,,,,,,,,
11,5,2,2,FF,FF,1.02,0.0,0.995,0.203,1.111,86.8,1,0.208,1.093,foul,,-0.0045,0.04,-0.0482,-30.0843,0.3973,0.3976,83.9,49.7,-60.4,6503,76.2,5.6,foul,0.0
11,6,2,2,CH,CH,1.02,0.057,0.5,0.252,0.555,78.9,1,0.246,0.527,foul,,-0.0003,0.0408,0.0027,-25.1052,0.4409,0.44,84.9,56.7,-52.2,6781,65.4,5.9,foul,0.0
