seed,outcome,n_pitches,final_balls,final_strikes
0,out,3,0,2
1,strikeout,3,0,3
2,walk,6,4,2
3,out,4,2,1
4,strikeout,6,3,3
5,strikeout,4,1,3
6,single,1,0,0
7,out,5,2,2
8,out,2,1,0
9,out,7,3,2
10,out,4,2,1
11,strikeout,8,3,3
12,HR,5,2,2
13,single,3,2,0
14,out,4,1,2
15,double,2,1,0
16,out,3,1,1
17,out,5,2,2
18,walk,5,4,1
19,out,3,1,1
20,double,3,1,1
21,out,3,1,1
22,out,2,1,0
23,double,3,1,1
24,out,1,0,0
25,out,2,0,1
26,HR,4,2,1
27,out,3,2,0
28,strikeout,6,3,3
29,out,3,0,2
30,double,1,0,0
31,out,2,1,0
32,out,1,0,0
33,out,2,0,1
34,out,3,2,0
35,out,2,0,1
36,out,1,0,0
37,strikeout,4,1,3
38,double,3,0,2
39,out,5,2,2
40,out,2,1,0
41,out,2,1,0
42,double,2,1,0
43,out,1,0,0
44,out,4,2,1
45,out,2,1,0
46,double,2,1,0
47,single,3,1,1
48,out,2,1,0
49,single,4,2,1
50,HR,5,2,2
51,out,2,1,0
52,out,2,0,1
53,walk,6,4,2
54,walk,5,4,1
55,double,2,1,0
56,out,4,2,1
57,single,1,0,0
58,out,5,1,2
59,out,6,3,2
60,out,1,0,0
61,out,2,1,0
62,strikeout,5,2,3
63,HR,5,2,2
64,single,1,0,0
65,out,3,1,1
66,out,6,3,2
67,out,4,3,0
68,strikeout,6,3,3
69,single,2,0,1
70,out,2,0,1
71,double,3,2,0
72,single,3,2,0
73,walk,6,4,2
74,walk,9,4,2
75,double,2,0,1
76,strikeout,4,1,3
77,out,1,0,0
78,walk,5,4,1
79,strikeout,5,2,3
80,single,5,2,2
81,single,3,2,0
82,out,1,0,0
83,double,2,0,1
84,strikeout,7,1,3
85,walk,6,4,2
86,out,4,0,2
87,strikeout,6,3,3
88,strikeout,4,1,3
89,single,2,1,0
90,out,4,1,2
91,out,3,0,2
92,out,3,1,1
