staff,week,leg_power,core_rotation,wrist_speed,grip_force,repeatability,grip_skill,stamina,focus,mental,guts,fatigue,condition,injury_risk,mph,rpm,bauer,sigma_m,f_force,ceiling_mph
우수 스태프,1,48.5,74.535,57.019,52.533,52.125,50.041,45.473,52.186,58.737,52.858,0.283,0.8,0.0,82.188,1949.131,23.715,0.278,1.0,94.603
우수 스태프,2,49.887,74.535,58.193,53.849,52.498,51.388,45.386,53.463,59.596,53.613,0.396,0.8,0.0,81.938,1951.722,23.819,0.29,1.0,94.603
우수 스태프,3,51.238,74.535,59.328,53.75,52.868,52.695,45.3,54.705,60.433,54.356,0.405,0.8,0.001,82.027,1962.116,23.92,0.29,1.0,94.603
우수 스태프,4,52.545,74.535,60.418,53.651,53.232,53.955,45.214,55.505,60.972,54.84,0.373,0.8,0.002,82.251,1975.498,24.018,0.285,1.0,94.603
우수 스태프,5,53.824,74.535,61.476,54.938,53.596,55.182,45.128,56.688,61.771,55.562,0.458,0.8,0.007,82.081,1979.196,24.113,0.294,1.0,94.603
우수 스태프,6,54.983,74.535,62.426,54.839,53.932,55.084,45.907,57.044,62.012,55.782,0.465,0.8,0.009,82.163,1984.342,24.151,0.294,1.0,94.603
우수 스태프,7,56.1,74.535,62.327,54.74,54.263,56.186,46.66,57.394,62.249,56.0,0.447,0.8,0.008,82.323,1991.362,24.19,0.292,1.0,94.603
우수 스태프,8,57.21,74.535,62.228,54.641,54.598,57.276,47.41,58.104,62.729,56.442,0.473,0.8,0.012,82.333,1994.726,24.228,0.294,1.0,94.603
우수 스태프,9,58.251,74.535,62.13,55.793,54.92,58.296,47.324,59.112,63.413,57.077,0.427,0.8,0.011,82.579,2003.604,24.263,0.287,1.0,94.603
우수 스태프,10,59.321,74.535,63.094,56.978,55.257,59.34,47.238,59.802,63.882,57.518,0.439,0.8,0.01,82.634,2011.88,24.347,0.288,1.0,94.603
우수 스태프,11,60.341,74.535,62.995,58.109,55.587,60.331,47.152,60.8,64.561,58.161,0.407,0.8,0.01,82.835,2019.578,24.381,0.283,1.0,94.603
우수 스태프,12,61.367,74.535,62.896,59.248,55.927,61.322,47.066,61.803,65.244,58.818,0.387,0.8,0.009,82.992,2026.255,24.415,0.28,1.0,94.603
우수 스태프,13,62.363,74.535,63.863,59.149,56.267,61.224,47.851,62.128,65.466,59.035,0.406,0.8,0.009,83.019,2030.217,24.455,0.281,1.0,94.603
우수 스태프,14,62.265,74.535,64.784,60.254,56.601,61.125,48.609,63.084,66.12,59.676,0.397,0.8,0.007,83.038,2033.827,24.493,0.279,1.0,94.603
우수 스태프,15,63.228,74.535,65.67,60.156,56.934,61.026,49.349,62.981,66.017,59.573,0.366,0.8,0.007,83.231,2041.55,24.529,0.275,1.0,94.603
우수 스태프,16,64.153,74.535,65.572,61.232,57.263,60.927,50.066,63.6,66.443,59.996,0.403,0.8,0.007,83.187,2039.784,24.52,0.279,1.0,94.603
우수 스태프,17,65.036,74.535,66.419,61.133,57.588,60.828,50.757,63.901,66.65,60.204,0.399,0.8,0.006,83.279,2044.903,24.555,0.277,1.0,94.603
우수 스태프,18,65.885,74.535,66.32,61.034,57.911,61.81,51.427,64.496,67.059,60.619,0.417,0.8,0.006,83.296,2048.161,24.589,0.279,1.0,94.603
우수 스태프,19,66.679,74.535,66.221,62.059,58.224,61.711,52.062,65.063,67.451,61.019,0.424,0.8,0.006,83.343,2048.619,24.581,0.279,1.0,94.603
우수 스태프,20,67.43,74.535,67.019,63.036,58.531,62.63,51.976,65.883,68.018,61.607,0.45,0.8,0.008,83.322,2054.113,24.653,0.281,1.0,94.603
우수 스태프,21,67.332,74.535,67.755,63.946,58.826,63.482,52.568,66.643,68.546,62.165,0.467,0.8,0.01,83.256,2058.03,24.719,0.282,1.0,94.603
우수 스태프,22,68.015,74.535,68.439,64.802,59.112,64.28,52.482,66.88,68.711,62.343,0.395,0.8,0.01,83.56,2070.775,24.782,0.273,1.0,94.603
우수 스태프,23,68.72,74.535,68.34,65.691,59.419,65.106,52.396,67.64,69.241,62.918,0.354,0.8,0.009,83.762,2078.111,24.81,0.268,1.0,94.603
우수 스태프,24,69.387,74.535,69.051,65.592,59.722,65.007,53.01,68.121,69.578,63.293,0.395,0.8,0.008,83.682,2078.513,24.838,0.272,1.0,94.603
우수 스태프,25,70.015,74.535,69.719,66.446,60.323,64.908,52.924,68.585,69.904,63.661,0.441,0.8,0.01,83.58,2078.196,24.865,0.276,1.0,94.603
우수 스태프,26,70.574,74.535,69.62,66.347,60.601,65.665,53.49,69.01,70.205,64.007,0.431,0.8,0.01,83.667,2082.452,24.89,0.274,1.0,94.603
우수 스태프,27,71.106,74.535,69.522,67.136,57.881,66.392,54.041,69.218,70.352,64.179,0.445,0.8,0.011,83.488,2080.015,24.914,0.28,1.0,94.603
우수 스태프,28,71.007,74.535,70.128,67.037,58.186,67.067,53.955,69.82,70.779,64.683,0.356,0.8,0.009,83.782,2091.892,24.968,0.269,1.0,94.603
우수 스태프,29,71.527,74.535,70.03,67.82,58.504,67.739,53.869,70.418,71.205,65.201,0.411,0.8,0.008,83.641,2090.208,24.99,0.275,1.0,94.603
우수 스태프,30,72.002,74.535,70.629,67.722,58.815,68.36,53.783,70.97,71.602,65.7,0.414,0.8,0.008,83.674,2095.37,25.042,0.274,1.0,94.603
부실 스태프,1,48.116,74.535,56.699,52.176,52.024,49.676,46.156,51.217,58.086,52.292,0.391,0.8,0.007,81.795,1937.488,23.687,0.291,1.0,94.603
