staff,week,sessions,planned_load,capacity_true,capacity_est,fatigue,injury_risk,injured,head_top_problem,true_top_problem,head_top1_hit,head_rank_error,talent_pitching_est
우수 스태프,1,core|legs|grips|wrist|mind|mind|grip|mind,7.6,8.33,8.36,0.283,0.0,0,leg_power,leg_power,1,1.0,0.12-1.00
우수 스태프,2,core|legs|mind|wrist|grips|mind|grip|mind,7.6,7.6,7.61,0.396,0.0,0,leg_power,leg_power,1,1.6,0.22-1.00
우수 스태프,3,legs|core|wrist|grips|mind|mind|mind,6.8,7.14,7.1,0.405,0.001,0,leg_power,leg_power,1,0.8,0.30-1.00
우수 스태프,4,legs|core|mind|wrist|mind|grips,6.3,7.1,6.73,0.373,0.002,0,leg_power,leg_power,1,1.4,0.36-1.00
우수 스태프,5,legs|core|mind|wrist|grips|grip|mind|mind,7.6,7.22,7.74,0.458,0.007,0,leg_power,leg_power,1,1.8,0.42-1.00
우수 스태프,6,legs|core|endurance|mind|wrist,7.0,6.88,7.17,0.465,0.009,0,leg_power,repeatability,0,1.0,0.46-1.00
우수 스태프,7,core|legs|endurance|grips|mind,6.8,6.9,7.25,0.447,0.008,0,leg_power,repeatability,0,1.4,0.50-1.00
우수 스태프,8,legs|core|endurance|mind|grips|mind,7.3,7.01,7.45,0.473,0.012,0,leg_power,repeatability,0,1.4,0.52-1.00
우수 스태프,9,core|legs|mind|mind|mind|grip|grips,6.6,6.95,7.0,0.427,0.011,0,repeatability,repeatability,1,1.8,0.55-0.99
우수 스태프,10,core|legs|wrist|grips|mind|mind|grip,7.1,7.13,7.37,0.439,0.01,0,repeatability,repeatability,1,1.2,0.57-0.98
우수 스태프,11,core|legs|grips|grip|mind|mind|mind,6.6,7.08,6.93,0.407,0.01,0,repeatability,repeatability,1,1.8,0.59-0.97
우수 스태프,12,core|mind|legs|grips|mind|mind|grip,6.6,7.2,7.23,0.387,0.009,0,repeatability,repeatability,1,3.0,0.60-0.97
우수 스태프,13,legs|endurance|core|wrist|mind,7.0,7.28,7.32,0.406,0.009,0,leg_power,repeatability,0,2.6,0.62-0.96
우수 스태프,14,core|mind|endurance|mind|mind|grip|wrist,6.8,7.25,7.36,0.397,0.007,0,repeatability,repeatability,1,2.8,0.63-0.95
우수 스태프,15,core|legs|endurance|wrist,6.5,7.33,6.96,0.366,0.007,0,repeatability,repeatability,1,1.6,0.64-0.94
우수 스태프,16,core|mind|mind|endurance|legs|grip,7.3,7.5,7.3,0.403,0.007,0,repeatability,repeatability,1,1.6,0.65-0.93
우수 스태프,17,endurance|legs|core|wrist|mind,7.0,7.39,7.31,0.399,0.006,0,repeatability,repeatability,1,2.0,0.66-0.92
우수 스태프,18,core|endurance|mind|mind|grips|legs,7.3,7.45,7.51,0.417,0.006,0,leg_power,repeatability,0,1.6,0.67-0.91
우수 스태프,19,core|endurance|legs|mind|grip|mind,7.3,7.42,7.58,0.424,0.006,0,leg_power,repeatability,0,2.0,0.68-0.90
우수 스태프,20,core|wrist|grips|legs|mind|grip|mind|mind,7.6,7.43,7.86,0.45,0.008,0,repeatability,repeatability,1,2.2,0.68-0.90
우수 스태프,21,core|mind|mind|endurance|mind|grip|grips|wrist,7.6,7.32,7.71,0.467,0.01,0,repeatability,repeatability,1,2.6,0.69-0.89
우수 스태프,22,core|legs|mind|wrist|grip|grips,6.6,7.29,6.81,0.395,0.01,0,repeatability,repeatability,1,1.2,0.70-0.88
우수 스태프,23,core|legs|grips|mind|grip|mind|mind,6.6,7.57,7.35,0.354,0.009,0,leg_power,repeatability,0,1.6,0.70-0.88
우수 스태프,24,core|legs|endurance|mind|mind|wrist,7.5,7.73,8.0,0.395,0.008,0,repeatability,repeatability,1,2.0,0.71-0.87
우수 스태프,25,core|legs|wrist|mind|grip|core|mind,7.8,7.6,7.83,0.441,0.01,0,repeatability,repeatability,1,2.4,0.71-0.87
우수 스태프,26,core|legs|endurance|mind|grips|mind,7.3,7.41,7.44,0.431,0.01,0,repeatability,repeatability,1,1.4,0.72-0.86
우수 스태프,27,core|endurance|legs|mind|grips|grip,7.6,7.49,7.7,0.445,0.011,1,stamina,repeatability,0,1.2,0.72-0.86
우수 스태프,28,core|mind|mind|wrist|grips|mind,4.8,5.66,5.41,0.356,0.009,0,repeatability,repeatability,1,2.6,0.73-0.85
우수 스태프,29,core|legs|mind|grips|grip|mind|mind,6.6,6.61,6.95,0.411,0.008,0,repeatability,repeatability,1,1.4,0.73-0.85
우수 스태프,30,core|mind|mind|legs|wrist|grips|mind,6.8,6.99,7.4,0.414,0.008,0,focus,repeatability,0,3.8,0.74-0.85
부실 스태프,1,core|legs|mind|grips|wrist|grip|endurance|mind,9.1,8.33,9.48,0.391,0.007,0,leg_power,leg_power,1,2.8,0.10-1.00
부실 스태프,2,legs|grips|endurance|mind|wrist|grip|mind|mind,8.1,7.2,9.04,0.51,0.018,0,focus,leg_power,0,3.8,0.19-1.00
부실 스태프,3,legs|wrist|mind|grips|mind|mind|core|endurance|grip,9.6,6.77,10.63,0.773,0.059,0,leg_power,leg_power,1,1.4,0.26-1.00
부실 스태프,4,legs|grips,2.8,5.74,3.2,0.328,0.053,0,leg_power,leg_power,1,2.8,0.32-1.00
부실 스태프,5,legs|mind|core|grips|endurance|mind|mind,7.8,7.52,8.02,0.431,0.049,0,leg_power,leg_power,1,2.4,0.37-1.00
부실 스태프,6,legs|grips|wrist|core|mind|core|mind|mind,8.3,7.14,8.54,0.548,0.057,0,repeatability,leg_power,0,2.4,0.41-1.00
부실 스태프,7,legs|core|mind|wrist|mind|mind,6.0,6.66,6.21,0.425,0.05,0,repeatability,leg_power,0,3.0,0.45-1.00
부실 스태프,8,legs|wrist|grips|mind|grip|mind|core|mind,7.6,7.15,8.28,0.479,0.049,0,leg_power,leg_power,1,2.6,0.48-1.00
부실 스태프,9,core|mind|legs|wrist|mind|grip|endurance,8.3,6.93,8.7,0.589,0.061,0,leg_power,repeatability,0,1.4,0.50-1.00
부실 스태프,10,wrist|mind|core|grips|grip|mind|endurance|mind,7.6,6.52,8.11,0.601,0.065,0,guts,repeatability,0,2.2,0.52-1.00
부실 스태프,11,core|grips|legs|wrist|grip|mind,6.6,6.5,6.71,0.507,0.059,0,leg_power,repeatability,0,2.2,0.54-1.00
부실 스태프,12,legs|grips|grip|mind|core|mind|mind|wrist|core,9.1,6.87,10.08,0.693,0.083,0,focus,repeatability,0,2.2,0.55-1.00
부실 스태프,13,grips|legs|mind|mind|wrist|core|core|grip,8.6,6.12,8.97,0.821,0.12,0,wrist_speed,repeatability,0,2.4,0.56-1.00
부실 스태프,14,core|mind|mind|grips|grip|mind,4.6,5.61,4.92,0.473,0.102,0,grip_skill,repeatability,0,1.8,0.57-0.99
부실 스태프,15,core|mind|grips|grip|mind|legs|mind,6.6,6.99,7.25,0.423,0.088,0,stamina,repeatability,0,3.0,0.58-0.99
부실 스태프,16,core|legs|grip|mind|mind|grips,6.1,7.18,6.17,0.356,0.076,0,grip_skill,repeatability,0,3.0,0.59-0.98
부실 스태프,17,mind|core|mind|mind|grip|legs|wrist|endurance,8.8,7.45,8.97,0.536,0.081,0,repeatability,repeatability,1,1.8,0.60-0.98
부실 스태프,18,mind|core|endurance|mind|grip|grips,6.1,6.76,6.34,0.42,0.068,0,repeatability,repeatability,1,2.2,0.61-0.97
부실 스태프,19,core|legs|grips,4.3,7.25,4.47,0.243,0.059,0,core_rotation,repeatability,0,2.8,0.61-0.97
부실 스태프,20,core|grips|mind|legs|mind,5.3,7.96,5.57,0.213,0.051,0,repeatability,repeatability,1,3.0,0.62-0.96
부실 스태프,21,core|legs|wrist|mind|grips|grip|mind,7.1,8.07,7.4,0.302,0.043,0,repeatability,repeatability,1,2.6,0.62-0.96
부실 스태프,22,mind|core|mind|endurance|core|legs|grips|mind,9.3,7.71,9.44,0.535,0.055,0,repeatability,repeatability,1,2.0,0.63-0.95
부실 스태프,23,legs|endurance|mind|wrist|core|mind|mind|grip|core,10.3,6.81,10.33,0.861,0.102,0,repeatability,repeatability,1,2.2,0.64-0.95
