seed,pitch_no,balls,strikes,runners,pitcher_intent,intent_zone,catcher_sign,sign_zone,final,final_zone,agreed,shake_offs,mph,rpm,axis_deg,sigma_m,plate_x,plate_z,swing,tipped,result,reasons,ev_mph,la_deg,play
0,1,0,0,000,CH,low_away,CH,low_away,CH,low_away,1,0,84.4,1367,102.2,0.12,-0.118,0.49,1,0,foul,투수 의도 반영 / 낮은 공 추격 / 오프스피드에 약함,59.1,71.6,foul
0,2,0,1,000,CH,low,CH,low_in,CH,low_in,1,0,84.4,1431,104.4,0.12,0.445,0.475,0,0,ball,투수 의도 반영 / 낮은 공 추격 / 오프스피드에 약함,,,
0,3,1,1,000,FF,high,FF,high_in,FF,high_in,1,0,93.8,2138,57.8,0.12,-0.003,1.143,0,0,ball,투수 의도 반영 / CH 뒤 터널링,,,
0,4,2,1,000,SI,low_away,SI,low_away,SI,low_away,1,0,92.9,2012,95.0,0.121,-0.149,0.664,1,0,foul,투수 의도 반영 / 낮은 공 추격,90.2,-13.2,foul
0,5,2,2,000,CH,chase_low,CH,chase_low,CH,chase_low,1,0,86.1,1471,104.4,0.121,-0.324,0.22,0,0,ball,투수 의도 반영 / SI 뒤 터널링 / 낮은 공 추격 / 오프스피드에 약함,,,
0,6,3,2,000,FF,chase_high,FF,chase_high,FF,chase_high,1,0,94.8,2233,57.8,0.12,0.003,1.084,0,0,ball,투수 의도 반영 / CH 뒤 터널링,,,
1,1,0,0,100,FF,high,SI,low_away,SI,low_away,0,0,92.9,1996,93.4,0.121,0.211,0.453,0,0,ball,도루 위협: 빠른 공,,,
1,2,1,0,100,FF,high,FF,high,FF,high,1,0,93.8,2110,58.2,0.121,0.075,0.962,1,0,foul,투수 의도 반영 / 도루 위협: 빠른 공,84.8,38.6,foul
1,3,1,1,100,CH,low,CH,low_away,CH,low_away,1,0,84.4,1409,109.8,0.121,0.258,0.546,1,0,in_play,투수 의도 반영 / FF 뒤 터널링,84.3,60.0,out
2,1,0,0,001,FF,high_in,FF,high,FF,high,1,0,93.8,2221,50.5,0.121,0.079,1.303,0,0,ball,투수 의도 반영,,,
2,2,1,0,001,FF,high_in,FF,high_in,FF,high_in,1,0,93.8,2200,55.0,0.122,-0.235,0.854,1,0,in_play,투수 의도 반영,88.7,-28.1,out
3,1,0,0,000,FF,high,SI,low,FF,high,0,1,93.8,2123,48.1,0.123,0.06,0.919,0,0,called_strike,투수 의도 반영,,,
3,2,0,1,000,CH,low,CH,low,CH,low,1,0,84.4,1365,101.5,0.122,-0.011,0.533,1,0,in_play,투수 의도 반영 / FF 뒤 터널링,94.4,32.7,out
4,1,0,0,000,CH,low,FF,high,FF,high,0,0,93.8,2198,57.6,0.122,-0.067,1.068,1,0,in_play,낮은 공 추격 / 오프스피드에 약함,91.3,42.3,out
5,1,0,0,100,FF,high,FF,high,FF,high,1,0,93.8,2217,56.6,0.123,0.234,1.064,0,0,called_strike,투수 의도 반영 / 도루 위협: 빠른 공,,,
