seed,pitcher,outcome,n_pitches,pitch_count_end
0,B,walk,6,6
1,B,out,3,9
2,B,out,2,11
3,B,out,2,13
4,B,out,1,14
5,B,walk,6,20
6,B,strikeout,6,26
7,B,out,3,29
8,B,walk,7,36
9,B,single,2,38
10,B,out,4,42
11,B,walk,7,49
12,B,strikeout,5,54
13,B,single,3,57
14,B,single,2,59
15,B,single,2,61
16,B,out,4,65
17,B,out,3,68
18,B,out,1,69
19,B,out,3,72
20,B,out,2,74
21,B,out,1,75
22,B,walk,6,81
23,B,double,2,83
24,B,out,2,85
25,B,out,4,4
26,B,double,3,7
27,B,single,3,10
28,B,single,4,14
29,B,walk,6,20
30,B,out,3,23
31,B,double,6,29
32,B,out,1,30
33,B,double,3,33
34,B,single,1,34
35,B,double,3,37
36,B,out,2,39
37,B,out,1,40
38,B,single,2,42
39,B,single,3,45
40,B,single,2,47
41,B,out,4,51
42,B,out,1,52
43,B,out,6,58
44,B,out,3,61
45,B,strikeout,6,67
46,B,out,2,69
47,B,strikeout,6,75
48,B,out,4,79
49,B,single,2,81
50,B,out,1,1
51,B,out,5,6
52,B,out,3,9
53,B,out,2,11
54,B,double,4,15
55,B,out,2,17
56,B,single,2,19
57,B,out,4,23
58,B,strikeout,3,26
59,B,single,2,28
60,B,double,4,32
61,B,out,3,35
62,B,out,2,37
63,B,out,2,39
64,B,double,5,44
65,B,out,2,46
66,B,strikeout,5,51
67,B,out,2,53
68,B,walk,6,59
69,B,out,5,64
70,B,double,3,67
71,B,single,1,68
72,B,out,4,72
73,B,out,3,75
74,B,out,3,78
75,B,out,2,2
76,B,walk,5,7
77,B,out,4,11
78,B,out,2,13
79,B,out,4,17
80,B,out,2,19
81,B,out,2,21
82,B,out,1,22
83,B,out,2,24
84,B,out,7,31
85,B,out,2,33
86,B,strikeout,4,37
87,B,single,1,38
88,B,out,2,40
89,B,out,1,41
90,B,single,1,42
91,B,out,2,44
92,B,out,3,47
93,B,double,1,48
94,B,out,3,51
95,B,strikeout,5,56
96,B,double,2,58
97,B,out,5,63
98,B,out,1,64
99,B,walk,6,70
100,B,out,1,1
101,B,single,6,7
102,B,out,4,11
103,B,strikeout,3,14
104,B,double,2,16
105,B,out,1,17
106,B,out,2,19
107,B,out,2,21
108,B,strikeout,5,26
109,B,strikeout,9,35
110,B,single,6,41
111,B,out,3,44
112,B,single,1,45
113,B,walk,6,51
114,B,out,2,53
115,B,walk,6,59
116,B,walk,6,65
117,B,walk,8,73
118,B,strikeout,3,76
119,B,out,1,77
120,B,out,7,84
121,B,walk,6,90
122,B,single,4,94
123,B,strikeout,5,99
124,B,out,3,102
125,B,walk,6,6
126,B,out,1,7
127,B,single,1,8
128,B,single,1,9
129,B,out,1,10
130,B,out,1,11
131,B,single,2,13
132,B,single,3,16
133,B,out,1,17
134,B,single,1,18
135,B,walk,7,25
136,B,single,6,31
137,B,walk,7,38
138,B,out,1,39
139,B,out,2,41
140,B,double,1,42
141,B,double,2,44
142,B,out,2,46
143,B,single,4,50
144,B,strikeout,5,55
145,B,single,3,58
146,B,out,5,63
147,B,walk,6,69
148,B,double,1,70
149,B,strikeout,3,73
150,B,single,1,1
151,B,out,1,2
152,B,strikeout,3,5
153,B,out,2,7
154,B,strikeout,3,10
155,B,out,2,12
156,B,single,1,13
157,B,walk,6,19
158,B,out,3,22
159,B,walk,6,28
160,B,single,3,31
161,B,out,2,33
162,B,out,1,34
163,B,out,2,36
164,B,out,3,39
165,B,single,4,43
166,B,double,4,47
167,B,out,1,48
168,B,out,6,54
169,B,out,2,56
170,B,single,2,58
171,B,double,3,61
172,B,walk,6,67
173,B,out,4,71
174,B,HR,5,76
175,B,strikeout,6,6
176,B,out,2,8
177,B,double,2,10
178,B,out,2,12
179,B,double,1,13
180,B,single,1,14
181,B,walk,7,21
182,B,double,3,24
183,B,HR,1,25
184,B,out,2,27
185,B,out,4,31
186,B,walk,7,38
187,B,out,4,42
188,B,single,2,44
189,B,out,2,46
190,B,double,1,47
191,B,single,1,48
192,B,out,3,51
193,B,strikeout,4,55
194,B,strikeout,5,60
195,B,out,1,61
196,B,out,1,62
197,B,double,3,65
198,B,single,2,67
199,B,out,1,68
200,B,out,3,3
201,B,out,1,4
202,B,walk,7,11
203,B,single,1,12
204,B,out,1,13
205,B,out,3,16
206,B,walk,6,22
207,B,out,6,28
208,B,walk,6,34
209,B,walk,6,40
210,B,double,3,43
211,B,double,4,47
212,B,out,2,49
213,B,single,2,51
214,B,out,1,52
215,B,out,1,53
216,B,strikeout,5,58
217,B,out,2,60
218,B,out,2,62
219,B,out,4,66
220,B,out,3,69
221,B,strikeout,4,73
222,B,double,2,75
