attribute,level,pressure,K%,BB%,H%,whiff%,chase%,check/PA,adjust/pitch,EV,1st-pitch swing%,take-to-learn/PA
tracking,low,0,14.17,20.0,21.67,28.03,35.67,0.15,1.0,81.26,34.17,0.35
tracking,low,1,20.0,20.0,21.67,32.54,37.87,0.12,0.99,78.95,30.83,0.38
tracking,high,0,15.0,12.5,22.5,22.75,30.54,0.13,1.0,81.94,29.17,0.44
tracking,high,1,15.0,15.83,20.83,28.57,37.5,0.12,0.99,80.81,31.67,0.47
composure,low,0,15.83,13.33,26.67,26.25,34.38,0.12,1.0,80.93,31.67,0.37
composure,low,1,26.67,14.17,16.67,38.33,42.22,0.13,1.0,77.5,29.17,0.42
composure,high,0,5.83,15.0,22.5,19.11,33.12,0.07,1.0,82.04,28.33,0.38
composure,high,1,16.67,20.0,19.17,25.5,30.2,0.11,1.0,81.37,30.0,0.42
reaction,low,0,35.83,11.67,12.5,45.98,37.36,0.03,1.0,79.11,30.0,0.41
reaction,low,1,36.67,8.33,16.67,48.94,42.02,0.03,1.0,79.53,28.33,0.39
reaction,high,0,5.0,20.0,24.17,10.81,28.38,0.25,1.0,80.35,29.17,0.36
reaction,high,1,8.33,18.33,19.17,20.75,30.19,0.25,1.0,79.7,28.33,0.38
boldness,low,0,16.67,20.83,15.83,21.43,30.16,0.1,1.0,79.97,17.5,0.82
boldness,low,1,20.83,26.67,12.5,28.79,37.12,0.08,1.0,78.55,15.83,0.87
boldness,high,0,7.5,5.83,25.0,22.87,31.38,0.12,1.0,85.3,34.17,0.09
boldness,high,1,12.5,8.33,19.17,33.17,33.66,0.13,1.0,82.32,33.33,0.1
