code,memory,t_ms,speed_mph,bend_z_seen_cm,prior_fastball,p_fastball,pred_x,pred_z,sigma_x,sigma_z,actual_z,dominant_bin,cues
FF,with memory,147,90.6,0.5,0.43,0.63,0.093,0.719,0.114,0.161,0.715,0.27558700060452485,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 91 mph, 지금까지 휨 -2/+0 cm → 직구 63% / 판단 비중: 100%@28%"
FF,with memory,197,90.6,1.1,0.43,0.63,0.1,0.717,0.106,0.15,0.715,0.41338050090678724,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 91 mph, 지금까지 휨 -2/+1 cm → 직구 63% / 판단 비중: 39%@28%, 61%@41%"
FF,with memory,230,90.6,3.1,0.43,0.66,0.106,0.723,0.097,0.137,0.715,0.5511740012090497,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 91 mph, 지금까지 휨 -4/+3 cm → 직구 66% / 판단 비중: 23%@28%, 36%@41%, 41%@55%"
FF,with memory,280,90.6,3.1,0.43,0.66,0.106,0.723,0.097,0.137,0.715,0.5511740012090497,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 91 mph, 지금까지 휨 -4/+3 cm → 직구 66% / 판단 비중: 23%@28%, 36%@41%, 41%@55%"
FF,no memory,147,90.6,0.5,0.52,0.87,0.253,0.817,0.093,0.121,0.715,0.27558700060452485,"카운트 1-1 리그 직구 비율 52% / 구속 91 mph, 지금까지 휨 -2/+0 cm → 직구 87% / 판단 비중: 100%@28%"
FF,no memory,197,90.6,1.1,0.52,0.86,0.251,0.809,0.088,0.114,0.715,0.27558700060452485,"카운트 1-1 리그 직구 비율 52% / 구속 91 mph, 지금까지 휨 -2/+1 cm → 직구 86% / 판단 비중: 50%@28%, 50%@41%"
FF,no memory,230,90.6,3.1,0.52,0.87,0.246,0.804,0.083,0.107,0.715,0.27558700060452485,"카운트 1-1 리그 직구 비율 52% / 구속 91 mph, 지금까지 휨 -4/+3 cm → 직구 87% / 판단 비중: 36%@28%, 36%@41%, 28%@55%"
FF,no memory,280,90.6,3.1,0.52,0.87,0.246,0.804,0.083,0.107,0.715,0.27558700060452485,"카운트 1-1 리그 직구 비율 52% / 구속 91 mph, 지금까지 휨 -4/+3 cm → 직구 87% / 판단 비중: 36%@28%, 36%@41%, 28%@55%"
SI,with memory,147,90.5,-0.4,0.43,0.6,0.167,0.971,0.119,0.162,0.718,0.27500148818617154,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 90 mph, 지금까지 휨 -0/-0 cm → 직구 60% / 판단 비중: 100%@28%"
SI,with memory,197,90.5,-2.5,0.43,0.53,0.142,0.933,0.106,0.154,0.718,0.4125022322792573,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 90 mph, 지금까지 휨 -5/-3 cm → 직구 53% / 판단 비중: 39%@28%, 61%@41%"
SI,with memory,230,90.5,-3.4,0.43,0.46,0.14,0.904,0.097,0.142,0.718,0.5500029763723431,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 90 mph, 지금까지 휨 -6/-3 cm → 직구 46% / 판단 비중: 23%@28%, 36%@41%, 41%@55%"
SI,with memory,280,90.5,-3.4,0.43,0.46,0.14,0.904,0.097,0.142,0.718,0.5500029763723431,"카운트 1-1 리그 직구 비율 52% / 이 투수 직구 비율 26% (본 공 24개, 가중 50%) / 직전 변화구 → 직구 다소 예상 / 구속 90 mph, 지금까지 휨 -6/-3 cm → 직구 46% / 판단 비중: 23%@28%, 36%@41%, 41%@55%"
SI,no memory,147,90.5,-0.4,0.52,0.85,0.326,1.07,0.094,0.123,0.718,0.27500148818617154,"카운트 1-1 리그 직구 비율 52% / 구속 90 mph, 지금까지 휨 -0/-0 cm → 직구 85% / 판단 비중: 100%@28%"
SI,no memory,197,90.5,-2.5,0.52,0.83,0.305,1.047,0.089,0.117,0.718,0.27500148818617154,"카운트 1-1 리그 직구 비율 52% / 구속 90 mph, 지금까지 휨 -5/-3 cm → 직구 83% / 판단 비중: 50%@28%, 50%@41%"
