학습  1: FF  관측 구속 91.5 mph, 도달 편차 dx -0.16 dz +0.13 m → 가족 FB, 유형 3개, 직구 비율 78%, 구간 신뢰 {0.25: 0.5, 0.4: 0.51, 0.55: 0.52, 0.7: 0.55}
학습  2: SI  관측 구속 90.4 mph, 도달 편차 dx -0.28 dz -0.04 m → 가족 BR, 유형 4개, 직구 비율 52%, 구간 신뢰 {0.25: 0.39, 0.4: 0.4, 0.55: 0.42, 0.7: 0.46}
학습  3: SL  관측 구속 82.2 mph, 도달 편차 dx +0.12 dz +0.08 m → 가족 BR, 유형 4개, 직구 비율 39%, 구간 신뢰 {0.25: 0.35, 0.4: 0.38, 0.55: 0.41, 0.7: 0.48}
학습  4: CH  관측 구속 82.7 mph, 도달 편차 dx -0.22 dz -0.11 m → 가족 BR, 유형 4개, 직구 비율 31%, 구간 신뢰 {0.25: 0.28, 0.4: 0.3, 0.55: 0.33, 0.7: 0.41}
학습  5: FF  관측 구속 92.1 mph, 도달 편차 dx -0.25 dz +0.12 m → 가족 FB, 유형 4개, 직구 비율 43%, 구간 신뢰 {0.25: 0.27, 0.4: 0.31, 0.55: 0.35, 0.7: 0.43}
학습  6: SI  관측 구속 90.3 mph, 도달 편차 dx -0.26 dz -0.14 m → 가족 BR, 유형 4개, 직구 비율 37%, 구간 신뢰 {0.25: 0.22, 0.4: 0.29, 0.55: 0.38, 0.7: 0.47}
학습  7: SL  관측 구속 81.6 mph, 도달 편차 dx +0.10 dz +0.12 m → 가족 BR, 유형 4개, 직구 비율 32%, 구간 신뢰 {0.25: 0.21, 0.4: 0.28, 0.55: 0.39, 0.7: 0.51}
학습  8: CH  관측 구속 81.7 mph, 도달 편차 dx -0.14 dz -0.13 m → 가족 BR, 유형 4개, 직구 비율 29%, 구간 신뢰 {0.25: 0.18, 0.4: 0.24, 0.55: 0.33, 0.7: 0.46}
학습  9: FF  관측 구속 90.8 mph, 도달 편차 dx -0.26 dz +0.19 m → 가족 FB, 유형 4개, 직구 비율 36%, 구간 신뢰 {0.25: 0.19, 0.4: 0.24, 0.55: 0.34, 0.7: 0.47}
학습 10: SI  관측 구속 89.5 mph, 도달 편차 dx -0.25 dz -0.04 m → 가족 BR, 유형 4개, 직구 비율 32%, 구간 신뢰 {0.25: 0.2, 0.4: 0.24, 0.55: 0.43, 0.7: 0.55}
학습 11: SL  관측 구속 82.1 mph, 도달 편차 dx +0.06 dz +0.03 m → 가족 BR, 유형 4개, 직구 비율 30%, 구간 신뢰 {0.25: 0.23, 0.4: 0.27, 0.55: 0.45, 0.7: 0.58}
