attribute,level,K%,BB%,H%,whiff%,called_strike%,tunnel/PA,shake/PA,wild/PA,EV
baseline,0.5,14.17,13.33,21.67,10.12,21.88,0.33,0.88,0.0,81.04
sequencing,low,14.17,11.67,19.17,10.43,22.99,0.04,0.87,0.0,79.87
sequencing,high,20.0,10.0,17.5,13.16,22.97,0.51,0.94,0.01,80.4
observation,low,12.5,12.5,21.67,9.42,22.22,0.3,0.74,0.0,80.0
observation,high,15.83,14.17,21.67,10.02,24.01,0.33,0.77,0.0,79.81
framing,low,12.5,15.83,21.67,12.68,20.0,0.47,0.78,0.0,81.3
framing,high,10.83,15.83,17.5,10.77,24.4,0.15,0.91,0.0,79.22
blocking,low,15.83,15.83,19.17,10.37,22.12,0.33,0.82,0.0,81.17
blocking,high,12.5,14.17,20.83,9.47,22.33,0.35,0.79,0.0,81.41
rapport,low,13.33,15.83,21.67,9.11,22.54,0.35,1.06,0.0,79.44
rapport,high,18.33,18.33,16.67,10.5,23.41,0.23,0.68,0.0,77.46
