prof,grip,arm,mph,rpm,IVB,HB,gate
A,FF,48.0,96.9,2394,18.7,-7.7,ok
A,CH,48.0,87.2,1551,6.3,-13.0,ok
A,SL,48.0,87.2,2305,3.2,8.8,ok
A,CU,48.0,81.4,2212,-15.3,8.1,ok
B,FF,32.0,92.8,2135,16.1,-9.7,ok
B,SI,32.0,91.9,1966,4.8,-17.0,ok
B,CH,32.0,83.5,1383,3.8,-13.2,ok
B,SL,32.0,83.5,2056,3.7,8.1,ok
C,FF,8.0,85.8,2001,11.2,-11.4,ok
C,SI,8.0,84.9,1842,0.1,-16.1,ok
C,CH,8.0,77.2,1297,0.2,-12.4,ok
C,SL,8.0,77.2,1927,4.0,6.8,ok
D,SI,-33.0,73.2,1539,-7.3,17.0,ok
D,CH,-33.0,66.5,1083,-5.7,13.5,ok
D,SL,-33.0,66.5,1610,3.8,-2.9,ok
E,FF,50.0,94.4,2308,19.4,7.7,ok
E,CH,50.0,85.0,1496,6.9,13.8,ok
E,CU,50.0,79.3,2133,-16.2,-6.7,ok
