game,innings,R_home,R_away,H_home,H_away,HR_home,HR_away,BB_home,BB_away,K_home,K_away,E_home,E_away,pitches_home,pitches_away,starter_IP_home,starter_IP_away,line_home,line_away
1000,9,4,6,8,10,0,1,3,2,7,8,1,0,143,168,5.0,7.0,1 0 0 0 0 0 0 3 0,0 2 2 0 0 0 0 1 1
1001,9,7,6,10,13,3,3,1,5,6,10,2,0,131,182,5.0,7.0,3 1 0 0 0 0 1 0 2,0 0 1 0 0 2 1 2 0
1002,9,7,10,9,17,0,2,8,3,8,7,0,1,194,163,6.0,6.0,0 0 0 1 0 6 0 0 0,4 0 1 0 0 0 3 2 0
1003,9,4,3,7,9,1,0,2,0,9,7,1,1,123,141,7.0,7.0,0 1 1 0 0 0 0 0 2,0 0 0 0 0 0 3 0 0
1004,9,6,3,7,8,0,0,2,4,5,14,1,1,171,169,5.0,4.0,3 0 3 0 0 0 0 0 0,0 0 1 1 0 0 0 1 0
1005,9,4,6,10,12,0,0,1,1,4,11,2,1,156,158,5.0,6.0,2 1 0 0 1 0 0 0 0,2 4 0 0 0 0 0 0 0
1006,9,5,12,9,13,0,2,3,6,11,13,1,1,146,192,4.0,6.0,2 0 0 0 0 3 0 0 0,0 4 4 3 0 1 0 0 0
1007,12,3,3,11,10,1,0,1,1,17,15,0,1,174,179,7.0,6.0,0 1 0 0 0 0 0 2 0 0 0 0,0 0 0 0 0 1 0 0 2 0 0 0
1008,9,2,7,6,8,0,1,3,8,11,8,0,0,165,157,6.0,5.0,1 0 0 0 0 0 0 0 1,1 0 1 0 0 4 0 0 1
1009,9,5,3,7,6,0,1,6,8,9,6,1,1,161,159,7.0,5.0,0 0 0 2 3 0 0 0 0,0 2 0 0 0 0 1 0 0
1010,9,0,1,6,7,0,0,3,1,10,11,2,0,169,132,7.0,5.0,0 0 0 0 0 0 0 0 0,0 0 0 1 0 0 0 0 0
1011,9,6,2,8,12,0,1,1,1,7,8,0,4,142,147,6.0,7.0,0 2 0 0 0 3 0 1 0,0 0 1 0 0 1 0 0 0
1012,9,3,6,11,12,0,1,4,0,11,4,1,0,178,153,5.0,4.0,0 2 1 0 0 0 0 0 0,0 1 2 1 1 0 0 0 1
1013,9,4,10,9,17,0,3,6,1,7,7,1,2,157,161,6.0,5.0,0 0 0 1 2 0 0 1 0,1 0 6 0 0 0 0 1 2
1014,12,8,8,16,16,0,0,4,1,10,11,1,0,193,205,6.0,6.0,0 1 1 0 0 0 0 0 4 0 0 2,0 1 0 0 5 0 0 0 0 0 0 2
1015,9,2,5,4,8,1,0,0,2,12,13,0,0,118,150,7.0,7.0,0 0 2 0 0 0 0 0 0,0 0 0 0 0 0 5 0 0
1016,9,0,2,4,10,0,2,5,2,13,10,0,0,160,159,6.0,5.0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 1 0 0 1
1017,12,8,8,16,21,2,0,4,2,17,12,0,0,222,202,6.0,5.0,0 1 0 1 1 0 0 5 0 0 0 0,0 5 0 0 0 0 3 0 0 0 0 0
1018,9,1,5,7,12,0,1,2,6,7,10,0,3,149,181,5.0,7.0,0 0 0 0 0 0 0 0 1,0 0 1 2 1 0 0 0 1
1019,9,12,4,12,8,1,0,9,5,6,11,1,0,190,171,6.0,5.0,1 0 4 4 1 0 0 2 0,2 0 1 0 0 1 0 0 0
1020,9,5,4,11,9,1,0,0,4,7,6,0,1,145,165,5.0,6.0,0 0 0 2 1 0 2 0 0,1 1 0 2 0 0 0 0 0
1021,9,4,7,7,9,1,2,5,5,13,7,2,0,164,157,5.0,5.0,2 0 0 0 0 0 0 2 0,0 1 4 0 0 1 0 0 1
